id;ip_address;port;username;password;active
1;halloween ruddy excluding;812;readily;mushy zesty sherry;true
2;harmonious;352;dimly mostly before;yippee intent;false
3;red evacuate;12827;silently sans;clown;true
4;inflation whoever;7814;meanwhile care joyful;once a;true
5;disclaimer mouth;26954;ebb brr tour;till ha;false
6;teleconference supposing in;23621;retreat;anenst;true
7;dancer;13878;astride;indeed sheepishly;false
8;psst ouch beside;1851;involvement hog;uh-huh;true
9;quarter;29541;as likewise;green gee anesthetize;true
10;barring;7102;ack;until befriend inside;false
